Date,Country,MV_USD,PnL_USD,Country_Ret_USD
2025-04-15,JP,466869.40636136447,1885.1984912633332,0.004054327995134806
2025-04-16,US,4853582.0,-152117.19999999995,-0.03038880162835193
2025-04-16,HK,339697.5668757843,-14503.216802097053,-0.04094631483166515
2025-04-16,JP,462285.4995625304,-4714.312661253625,-0.010094891984655765
2025-04-17,US,4913883.4,60301.39999999993,0.012424102446399365
2025-04-17,HK,350114.33279045956,10629.045981679075,0.031309297912713446
2025-04-17,JP,471503.17721227347,5136.407417684642,0.011013665102998164
2025-04-18,US,4913883.4,0.0,0.0
2025-04-18,HK,350114.33279045956,0.0,0.0
2025-04-18,JP,472929.95705051924,1426.7798382457338,0.003026023804720597
2025-04-19,US,4913883.4,0.0,0.0
2025-04-19,HK,350114.33279045956,0.0,0.0
2025-04-19,JP,472929.95705051924,0.0,0.0
2025-04-21,US,4778684.8,-135198.5999999999,-0.02751359545893984
2025-04-21,HK,350114.33279045956,0.0,0.0
2025-04-21,JP,463037.61683868215,-9892.340211837087,-0.02091713596138375
2025-04-22,US,4271676.6,116349.79999999993,0.024347661515570124
2025-04-22,HK,354408.85102793085,4188.468239420992,0.011959521619135207
2025-04-22,JP,484607.0059410016,18111.67176643253,0.038824979457682825
2025-04-23,US,4343380.8,71704.20000000001,0.016785961746261416
2025-04-23,HK,373788.41174579045,19333.883366161575,0.05454545454545454
2025-04-23,JP,496902.3200335443,18449.343565601892,0.038560411311053984
2025-04-24,US,5295998.2,122185.4000000001,0.02813140399754958
2025-04-24,HK,366652.065881623,-7088.177020558627,-0.018965517241379334
2025-04-24,JP,502681.1083388565,7634.946517053699,0.015422696115765423
2025-04-25,US,5471233.6,175235.39999999994,0.03308826653302109
2025-04-25,HK,747240.5870214879,5800.232385832998,0.015817223198594
2025-04-25,JP,506064.579902983,2173.167538791749,0.004312769548096756
2025-04-26,US,5471233.6,0.0,0.0
2025-04-26,HK,747240.5870214879,0.0,0.0
2025-04-26,JP,506064.579902983,0.0,0.0
2025-04-28,US,4647692.6,-34320.999999999956,-0.006272991158703213
2025-04-28,HK,371574.80697343894,-9030.388512021482,-0.012082816140688256
2025-04-28,JP,0.0,0.0,0.0
2025-04-29,US,4204017.0,27256.39999999992,0.0058645014517526226
2025-04-29,HK,370652.0944632582,-644.61233819698,-0.0017347401844931129
2025-04-29,JP,0.0,0.0,
2025-04-30,US,3928606.0,19499.00000000004,0.0046381829569195464
2025-04-30,HK,378602.35973795224,8055.369356126644,0.021739130434782608
2025-04-30,JP,0.0,0.0,
2025-05-01,US,3252366.0,4.000000000021828,1.0181728582669622e-06
2025-05-01,HK,378780.5600290413,0.0,0.0
2025-05-01,JP,0.0,0.0,
2025-05-02,US,3362762.8,110396.79999999993,0.033943535260176724
2025-05-02,HK,393188.1706569375,14502.842360296876,0.03829787234042553
2025-05-02,JP,0.0,0.0,
2025-05-03,US,3362762.8,0.0,0.0
2025-05-03,HK,393188.1706569375,0.0,0.0
2025-05-03,JP,0.0,0.0,
2025-05-05,US,3364905.4,2142.6000000001186,0.0006371546634214339
2025-05-05,HK,393528.07260003174,0.0,0.0
2025-05-05,JP,0.0,0.0,
2025-05-06,US,3335642.8,-29262.60000000002,-0.0086964109005858
2025-05-06,HK,399334.2244908519,5806.1518908201315,0.014754098360655714
2025-05-06,JP,0.0,0.0,
2025-05-07,US,3334966.8,-675.9999999999382,-0.00020265958933011075
2025-05-07,HK,391209.5674023392,-8062.851760147139,-0.020193861066235864
2025-05-07,JP,0.0,0.0,
2025-05-08,US,1998254.0,23273.20000000005,0.006978540236142697
2025-05-08,HK,391496.50866761,644.4386973952519,0.00164880461665295
2025-05-08,JP,0.0,0.0,
2025-05-09,US,1621504.8,-23859.20000000006,-0.011940023640638307
2025-05-09,HK,397429.1834296272,6752.437582542191,0.017283950617283904
2025-05-09,JP,0.0,0.0,
