Date,Country,MV_KRW,PnL_KRW,Country_Ret_KRW
2025-06-09,HK,3824030222.741699,61594373.681640714,0.01637087678106947
2025-06-09,JP,0.0,0.0,
2025-06-10,US,6941214006.438647,-13949799.378442172,-0.0020056751742892065
2025-06-10,HK,3259271115.32135,-32079728.773498535,-0.008422754800222854
2025-06-10,JP,0.0,0.0,
2025-06-11,US,7012719649.618164,20081496.41589334,0.002871805458244258
2025-06-11,HK,3275866651.1047363,-6262893.185424624,-0.0019081797658840201
2025-06-11,JP,0.0,0.0,
2025-06-12,US,7004439614.4685545,-17586262.513476532,-0.0025044428519017154
2025-06-12,HK,3243912815.6158447,-37184951.063537836,-0.011333082312012506
2025-06-12,JP,0.0,0.0,
2025-06-13,US,6932319712.035156,9428553.380859205,0.001361938699422218
2025-06-13,HK,3181648951.2649536,-24290547.14202869,-0.007576732859150512
2025-06-13,JP,0.0,0.0,
2025-06-14,US,6932319712.035156,0.0,0.0
2025-06-14,HK,3181648951.2649536,0.0,0.0
2025-06-14,JP,0.0,0.0,
2025-06-16,US,7152782433.219897,141627542.93171418,0.020200315803591204
2025-06-16,HK,3232550906.932831,15544830.148315553,0.004832079821202274
2025-06-16,JP,0.0,0.0,
2025-06-17,US,5308704842.19414,-68533403.86674799,-0.009633299604271024
2025-06-17,HK,3200140909.0042114,-15480716.78161639,-0.004814222126595274
2025-06-17,JP,0.0,0.0,
2025-06-18,US,5413031889.1,15495560.299999852,0.002870857990768703
2025-06-18,HK,3189872215.008545,-63856710.92529285,-0.019625700966150898
2025-06-18,JP,0.0,0.0,
2025-06-19,US,4519001146.15,0.0,0.0
2025-06-19,HK,3070605899.092102,-96741421.56982428,-0.030543357508897008
2025-06-19,JP,0.0,0.0,
2025-06-20,US,4552542965.931982,19893283.62194829,0.004388886195989851
2025-06-20,HK,3110866404.2175293,41103812.368011534,0.013389899426472155
2025-06-20,JP,0.0,0.0,
2025-06-21,US,4552542965.931982,0.0,0.0
2025-06-21,HK,3110866404.2175293,0.0,0.0
2025-06-21,JP,0.0,0.0,
2025-06-23,US,4463039091.114843,-71556997.1211915,-0.01578023615087342
2025-06-23,HK,3142150690.422058,33339348.106384154,0.010724146445486953
2025-06-23,JP,0.0,0.0,
2025-06-24,US,4492822228.696582,54323153.66689449,0.012239081894262
2025-06-24,HK,3149395290.7592773,21655413.873291135,0.006923662045339754
2025-06-24,JP,0.0,0.0,
2025-06-25,US,5787008906.355469,-72543927.40590806,-0.016243951434810295
2025-06-25,HK,3189554789.426422,61989444.037628114,0.01982035135701444
2025-06-25,JP,0.0,0.0,
2025-06-26,US,5828525126.22583,27623431.870361097,0.00476192035752647
2025-06-26,HK,3132445517.8985596,-65198228.521728456,-0.020389459768530138
2025-06-26,JP,0.0,0.0,
2025-06-27,US,5827127373.90625,16942236.914306715,0.0029159547440992684
2025-06-27,HK,3127824283.7234497,5368464.559173405,0.001719308413020323
2025-06-27,JP,0.0,0.0,
